chromosome	start	end	strand	gene_type	gene_name
chr9	97403709	97411908	-	lncRNA	ENSG00000286375
chr9	97412096	97496125	+	protein_coding	TDRD7
chr9	97501180	97601743	+	protein_coding	TMOD1
chr9	97512706	97517836	-	lncRNA	ENSG00000228174
chr9	97600080	97633368	-	protein_coding	TSTD2
chr9	97633668	97673748	+	protein_coding	NCBP1
chr9	97634515	97636051	-	lncRNA	ENSG00000231521
chr9	97674909	97697340	-	protein_coding	XPA
chr9	97698922	97700734	+	processed_pseudogene	KRT18P13
chr9	97699625	97853080	-	lncRNA	PTCSC2
chr9	97743208	97744935	+	lncRNA	ENSG00000260677
chr9	97853226	97856717	+	protein_coding	FOXE1
chr9	97904489	97922500	-	protein_coding	TRMO
chr9	97915690	97915796	+	misc_RNA	Y_RNA
chr9	97921590	97922181	-	lncRNA	ENSG00000287070
chr9	97926791	97944856	-	protein_coding	HEMGN
chr9	97983341	98015943	+	protein_coding	ANP32B
chr9	97986551	97987656	-	lncRNA	ENSG00000236896
chr9	98032230	98032335	+	snRNA	RNU6-918P
chr9	98056732	98083077	+	protein_coding	NANS
chr9	98069275	98119222	-	protein_coding	TRIM14
chr9	98115885	98116135	+	misc_RNA	Metazoa_SRP
chr9	98120975	98192637	-	protein_coding	CORO2A
chr9	98199011	98255649	-	protein_coding	TBC1D2
chr9	98229149	98229217	-	miRNA	MIR6854
chr9	98234709	98235567	+	processed_pseudogene	ENSG00000224001
chr9	98288109	98708935	-	protein_coding	GABBR2
chr9	98606833	98608133	+	processed_pseudogene	SEPTIN7P7
chr9	98731329	98796965	-	protein_coding	ANKS6
chr9	98798466	98807564	-	lncRNA	ENSG00000285706
chr9	98807670	98850081	+	protein_coding	GALNT12
chr9	98847172	98872415	-	lncRNA	ENSG00000267026
chr9	98890590	98891937	+	processed_pseudogene	NME2P3
chr9	98943179	99070792	+	protein_coding	COL15A1
chr9	98943337	98943775	-	lncRNA	ENSG00000270412
chr9	99104038	99154192	+	protein_coding	TGFBR1
chr9	99145840	99145966	-	rRNA_pseudogene	RNA5SP290
chr9	99183373	99184891	+	lncRNA	ENSG00000227269
chr9	99185587	99185866	-	misc_RNA	RN7SL794P
chr9	99216425	99221942	-	protein_coding	ALG2
chr9	99222064	99230615	+	protein_coding	SEC61B
chr9	99284022	99284373	+	misc_RNA	RN7SKP225
chr9	99305176	99306611	+	processed_pseudogene	KRT8P11
chr9	99355337	99377240	-	lncRNA	NAMA
chr9	99357827	99357957	+	misc_RNA	ENSG00000277828
chr9	99359336	99371887	+	lncRNA	ENSG00000287955
chr9	99368447	99368566	+	misc_RNA	ENSG00000277465
chr9	99396987	99819921	-	lncRNA	ENSG00000237461
chr9	99397024	99906605	-	lncRNA	STX17-DT
chr9	99531507	99583301	+	lncRNA	ENSG00000234860
chr9	99821855	99866891	+	protein_coding	NR4A3
chr9	99906654	99974534	+	protein_coding	STX17
chr9	99915077	99929896	-	lncRNA	ENSG00000254571
chr9	99979185	100099052	-	protein_coding	ERP44
chr9	99998301	99999069	-	processed_pseudogene	UPF3AP3
chr9	100099243	100302175	+	protein_coding	INVS
chr9	100102559	100102839	+	misc_RNA	RN7SL75P
chr9	100116755	100117651	-	processed_pseudogene	RPS2P35
chr9	100120435	100120900	-	processed_pseudogene	ENSG00000270995
chr9	100175178	100176054	+	transcribed_processed_pseudogene	NANOGP5
chr9	100302077	100352942	-	protein_coding	TEX10
chr9	100427143	100451734	+	protein_coding	MSANTD3
chr9	100442271	100577636	+	protein_coding	MSANTD3-TMEFF1
chr9	100473149	100577636	+	protein_coding	TMEFF1
chr9	100578079	100588389	+	protein_coding	CAVIN4
chr9	100581079	100581379	-	misc_RNA	RN7SKP87
chr9	100731240	100732355	+	processed_pseudogene	ACTG1P19
chr9	100912320	100912741	+	processed_pseudogene	ENSG00000230161
chr9	100975668	100976682	+	processed_pseudogene	GAPDHP26
chr9	101028727	101325135	+	protein_coding	PLPPR1
chr9	101125436	101125921	-	processed_pseudogene	ENSG00000238143
chr9	101322477	101322533	+	snoRNA	ENSG00000253041
chr9	101334084	101339347	-	unitary_pseudogene	ACNATP
chr9	101354182	101385400	-	protein_coding	BAAT
chr9	101356466	101356844	-	processed_pseudogene	TRMT112P4
chr9	101358932	101361242	+	processed_pseudogene	ENSG00000230328
chr9	101375344	101376603	-	processed_pseudogene	FYTTD1P1
chr9	101387633	101398618	-	protein_coding	MRPL50
chr9	101398851	101410660	+	protein_coding	ZNF189
chr9	101420560	101449664	-	protein_coding	ALDOB
chr9	101449801	101449933	+	processed_pseudogene	ENSG00000270982
chr9	101468349	101482199	+	lncRNA	TMEM246-AS1
chr9	101473170	101533537	-	protein_coding	PGAP4
chr9	101501643	101501885	-	processed_pseudogene	ENSG00000233055
chr9	101533853	101563344	+	protein_coding	RNF20
chr9	101569352	101738647	-	protein_coding	GRIN3A
chr9	101591604	101595021	-	protein_coding	PPP3R2
chr9	101793454	101793756	-	processed_pseudogene	MTND3P4
chr9	102055252	102055741	-	processed_pseudogene	ARL2BPP7
chr9	102256604	102256710	+	snRNA	RNU6-329P
chr9	102444586	102444819	-	processed_pseudogene	ENSG00000286243
chr9	102444902	102497898	-	lncRNA	ENSG00000289079
chr9	102515204	102518308	+	processed_pseudogene	ENSG00000235901
chr9	102519636	102657514	+	lncRNA	LINC00587
chr9	102611162	102612155	-	processed_pseudogene	ZYG11AP1
chr9	102922574	102923244	+	processed_pseudogene	ENSG00000234269
chr9	102995311	103018488	+	protein_coding	CYLC2
chr9	103065416	103065598	+	processed_pseudogene	ENSG00000229830
chr9	103140523	103325034	-	lncRNA	LINC01492
chr9	103361952	103429892	-	lncRNA	ENSG00000226566
chr9	103689473	103689577	-	rRNA_pseudogene	RNA5SP291
chr9	103999755	104000469	+	lncRNA	ENSG00000285483
chr9	104077308	104093073	-	lncRNA	SMC2-DT
chr9	104094260	104141419	+	protein_coding	SMC2
chr9	104270228	104286955	+	transcribed_unitary_pseudogene	TOPORSLP
chr9	104328320	104329396	-	processed_pseudogene	ENSG00000203396
chr9	104504263	104505222	+	protein_coding	OR13F1
chr9	104519847	104537194	+	lncRNA	ENSG00000283001
chr9	104526253	104527209	-	protein_coding	OR13C4
chr9	104535749	104536856	-	protein_coding	OR13C3
chr9	104569168	104570130	+	protein_coding	OR13C8
chr9	104590044	104590950	+	unprocessed_pseudogene	OR13D2P
chr9	104598457	104599413	-	protein_coding	OR13C5
chr9	104604671	104605627	-	protein_coding	OR13C2
chr9	104617248	104618204	-	protein_coding	OR13C9
chr9	104629754	104631017	+	unprocessed_pseudogene	OR13I1P
chr9	104655363	104659055	-	transcribed_unprocessed_pseudogene	OR13C1P
chr9	104694518	104695462	+	protein_coding	OR13D1
chr9	104722335	104723271	+	unprocessed_pseudogene	OR13D3P
chr9	104747683	104760120	+	protein_coding	NIPSNAP3A
chr9	104764129	104777764	+	protein_coding	NIPSNAP3B
chr9	104781006	104928155	-	protein_coding	ABCA1
chr9	104927553	104928892	+	lncRNA	ENSG00000226334
chr9	104970593	104991818	-	lncRNA	CT70
chr9	105025932	105239221	-	lncRNA	ENSG00000286536
chr9	105096756	105097061	+	misc_RNA	RN7SKP191
chr9	105244622	105439171	+	protein_coding	SLC44A1
chr9	105402975	105404255	+	lncRNA	ENSG00000289227
chr9	105447796	105552433	+	protein_coding	FSD1L
chr9	105520128	105526359	+	processed_pseudogene	RALGAPA1P1
chr9	105554035	105558304	-	lncRNA	FKTN-AS1
chr9	105558122	105653820	+	protein_coding	FKTN
chr9	105656369	105657989	+	TEC	ENSG00000279609
chr9	105662457	105663124	+	protein_coding	TAL2
chr9	105694541	105776629	+	protein_coding	TMEM38B
chr9	105710290	105710781	-	processed_pseudogene	ENSG00000228366
chr9	105758164	105760755	+	processed_pseudogene	DEPDC1P2
chr9	105849710	105851425	+	processed_pseudogene	SLC25A6P5
chr9	105993310	106740875	+	lncRNA	LINC01505
chr9	106061354	106064825	-	lncRNA	ENSG00000225002
chr9	106584142	106591952	-	lncRNA	ENSG00000229297
chr9	106600928	106601022	+	miRNA	MIR8081
chr9	106615078	106615983	-	lncRNA	ENSG00000237062
chr9	106679977	106680329	+	misc_RNA	RN7SKP77
chr9	106722350	106722930	+	processed_pseudogene	ENSG00000228143
chr9	106843749	106843866	-	rRNA_pseudogene	RNA5SP292
chr9	106863166	107013634	+	protein_coding	ZNF462
chr9	106974833	107102988	-	lncRNA	ENSG00000230782
chr9	106978776	106979554	-	processed_pseudogene	ENSG00000231562
chr9	107115784	107115954	+	processed_pseudogene	ENSG00000223615
chr9	107116829	107117557	+	processed_pseudogene	ENSG00000225531
chr9	107117459	107121705	-	lncRNA	ENSG00000226047
chr9	107169569	107171148	-	processed_pseudogene	ENSG00000226535
chr9	107283137	107332192	+	protein_coding	RAD23B
chr9	107420191	107466613	-	lncRNA	LINC01509
chr9	107426405	107428742	+	lncRNA	ENSG00000287233
chr9	107458038	107458306	-	processed_pseudogene	HMGN2P32
chr9	107475036	107475139	-	snRNA	RNU6-492P
chr9	107484852	107490482	-	protein_coding	KLF4
chr9	107534390	107535162	+	processed_pseudogene	ENSG00000236005
chr9	107543151	107543616	-	processed_pseudogene	PPIAP88
chr9	107663140	107663246	-	snRNA	RNU6-996P
chr9	107797744	107797847	-	snRNA	RNU6-1064P
chr9	107811616	107811914	-	misc_RNA	RN7SL659P
chr9	107834509	107834829	-	processed_pseudogene	RPL36AP6
chr9	107853783	107854258	-	processed_pseudogene	ENSG00000233727
chr9	107918866	107918978	-	rRNA_pseudogene	RNA5SP293
chr9	107963703	107964045	-	processed_pseudogene	RPS15AP27
chr9	108040213	108040592	+	processed_pseudogene	ENSG00000213557
chr9	108097432	108097851	-	processed_pseudogene	CHCHD4P2
chr9	108252154	108254820	-	lncRNA	ENSG00000230030
chr9	108626833	108627150	+	processed_pseudogene	ENSG00000169253
chr9	108701370	108703092	-	lncRNA	ENSG00000231678
chr9	108821697	108822004	+	processed_pseudogene	RPL36AP35
chr9	108836333	108836597	+	processed_pseudogene	ENSG00000213556
chr9	108854588	108855986	-	protein_coding	ACTL7B
chr9	108862266	108863756	+	protein_coding	ACTL7A
chr9	108866898	108934328	-	protein_coding	ELP1
chr9	108934400	108950744	+	protein_coding	ABITRAM
chr9	108942569	109013522	-	protein_coding	CTNNAL1
chr9	109015135	109119947	-	protein_coding	TMEM245
chr9	109042386	109042487	-	misc_RNA	Y_RNA
chr9	109046229	109046298	-	miRNA	MIR32
chr9	109130293	109167249	-	protein_coding	FRRS1L
chr9	109171974	109321059	-	protein_coding	EPB41L4B
chr9	109196201	109196309	-	snRNA	RNU6-984P
chr9	109300186	109301172	+	unprocessed_pseudogene	MTND2P11
chr9	109324685	109324796	+	misc_RNA	Y_RNA
chr9	109375466	109498313	-	protein_coding	PTPN3
chr9	109498325	110172512	+	protein_coding	PALM2AKAP2
chr9	109511475	109511545	-	miRNA	MIR3927
chr9	109532830	109534332	-	processed_pseudogene	YBX1P6
chr9	109760355	109772290	-	lncRNA	ENSG00000232939
chr9	110024881	110025358	-	processed_pseudogene	ENSG00000228053
chr9	110190048	110208159	-	protein_coding	C9orf152
chr9	110243810	110256507	-	protein_coding	TXN
chr9	110303476	110337884	-	protein_coding	TXNDC8
chr9	110365248	110579880	-	protein_coding	SVEP1
chr9	110369592	110369698	-	snRNA	RNU6-1039P
chr9	110599475	110605219	+	lncRNA	ENSG00000232896
chr9	110668779	110806558	+	protein_coding	MUSK
chr9	110727456	110727679	-	processed_pseudogene	ENSG00000223918
chr9	110873263	111038470	-	protein_coding	LPAR1
chr9	110903337	110903445	+	snRNA	RNU6-432P
chr9	110934406	110934507	+	misc_RNA	Y_RNA
chr9	111097325	111097413	-	misc_RNA	RNY4P18
chr9	111139246	111284836	-	lncRNA	ENSG00000227531
chr9	111271156	111271214	-	miRNA	MIR7702
chr9	111327229	111330224	-	protein_coding	OR2K2
chr9	111360685	111484745	-	protein_coding	ECPAS
chr9	111411644	111411742	-	rRNA_pseudogene	RNA5SP294
chr9	111525159	111577844	+	protein_coding	ZNF483
chr9	111549722	111599893	-	protein_coding	PTGR1
chr9	111574192	111575427	+	lncRNA	ENSG00000224644
chr9	111602831	111631289	-	transcribed_unprocessed_pseudogene	LRRC37A5P
chr9	111631334	111654351	+	protein_coding	DNAJC25
chr9	111631386	111670229	+	protein_coding	DNAJC25-GNG10
chr9	111661605	111670226	+	protein_coding	GNG10
chr9	111686171	111795008	-	protein_coding	SHOC1
chr9	111802980	111803435	+	processed_pseudogene	ENSG00000224067
chr9	111839828	111839934	+	snRNA	RNU6-1013P
chr9	111896814	111935369	+	protein_coding	UGCG
chr9	111932100	111932169	+	miRNA	MIR4668
chr9	111996635	111996739	-	snRNA	RNU6-710P
chr9	112028570	112039143	-	lncRNA	ENSG00000259953
chr9	112040783	112175297	-	protein_coding	SUSD1
chr9	112137797	112137900	+	snRNA	RNU6-855P
chr9	112169286	112169397	+	misc_RNA	Y_RNA
chr9	112173522	112173971	-	processed_pseudogene	ENSG00000225513
chr9	112217716	112333664	-	protein_coding	PTBP3
chr9	112242550	112242839	-	misc_RNA	RN7SL57P
chr9	112252258	112252378	+	rRNA_pseudogene	RNA5SP295
chr9	112272596	112272837	-	misc_RNA	RN7SL430P
chr9	112280978	112281335	-	processed_pseudogene	HSPE1P28
chr9	112362714	112363116	+	processed_pseudogene	RPL32P22
chr9	112380080	112472405	+	protein_coding	HSDL2
chr9	112399512	112487204	-	lncRNA	HSDL2-AS1
chr9	112486827	112669397	+	protein_coding	KIAA1958
chr9	112581779	112582590	-	unprocessed_pseudogene	ENSG00000250068
chr9	112683926	112718149	-	protein_coding	INIP
chr9	112748902	112750565	-	lncRNA	SNX30-DT
chr9	112750760	112881671	+	protein_coding	SNX30
chr9	112878920	112890876	-	protein_coding	SLC46A2
chr9	112885158	112885767	+	lncRNA	ENSG00000271631
chr9	112957722	113012230	-	transcribed_unprocessed_pseudogene	ZNF883
chr9	112959134	112962261	-	transcribed_unprocessed_pseudogene	MUPP
chr9	113038377	113056759	-	protein_coding	ZFP37
chr9	113060086	113060507	-	unprocessed_pseudogene	ENSG00000285115
chr9	113065535	113065956	-	unprocessed_pseudogene	ENSG00000284763
chr9	113070983	113071404	-	unprocessed_pseudogene	ENSG00000284962
chr9	113076429	113076850	-	unprocessed_pseudogene	ENSG00000285076
chr9	113081871	113082292	-	unprocessed_pseudogene	ENSG00000284867
chr9	113087317	113087738	-	unprocessed_pseudogene	ENSG00000285370
chr9	113102117	113111543	-	lncRNA	FAM225B
chr9	113113042	113119928	+	lncRNA	FAM225A
chr9	113150976	113164140	+	protein_coding	SLC31A2
chr9	113161006	113221458	-	protein_coding	FKBP15
chr9	113221544	113264492	+	protein_coding	SLC31A1
chr9	113255835	113275572	-	protein_coding	CDC26
chr9	113275642	113294009	+	protein_coding	PRPF4
chr9	113297093	113303376	-	protein_coding	RNF183
chr9	113313222	113340298	-	protein_coding	WDR31
chr9	113349541	113371233	+	protein_coding	BSPRY
chr9	113373419	113376986	-	protein_coding	HDHD3
chr9	113386312	113401290	-	protein_coding	ALAD
chr9	113407235	113410675	-	protein_coding	POLE3
chr9	113410054	113429690	+	protein_coding	C9orf43
chr9	113444731	113597743	+	protein_coding	RGS3
chr9	113570190	113590019	-	lncRNA	ENSG00000237073
chr9	113614589	113617375	-	TEC	ENSG00000282897
chr9	113619228	113622634	+	lncRNA	ENSG00000233817
chr9	113650956	113682855	+	lncRNA	ENSG00000227482
chr9	113758994	113759419	-	processed_pseudogene	ENSG00000214669
chr9	113850687	113851632	-	processed_pseudogene	ENSG00000232905
chr9	113876282	114056593	+	protein_coding	ZNF618
chr9	114060127	114078328	-	protein_coding	AMBP
chr9	114086126	114099292	-	protein_coding	KIF12
chr9	114155537	114312511	+	protein_coding	COL27A1
chr9	114209434	114209529	+	miRNA	MIR455
chr9	114323098	114326479	+	protein_coding	ORM1
chr9	114329869	114333251	+	protein_coding	ORM2
chr9	114334156	114394405	-	protein_coding	AKNA
chr9	114396724	114398503	-	lncRNA	ENSG00000235119
chr9	114402080	114505473	-	protein_coding	WHRN
chr9	114491564	114491741	+	processed_pseudogene	ENSG00000271214
chr9	114572901	114573371	+	processed_pseudogene	ENSG00000235797
chr9	114587706	114598915	+	protein_coding	ATP6V1G1
chr9	114611206	114646422	+	protein_coding	TMEM268
chr9	114615455	114615568	-	misc_RNA	Y_RNA
chr9	114656304	114662374	-	protein_coding	TEX53
chr9	114666434	114682192	-	protein_coding	TEX48
chr9	114695922	114696315	-	processed_pseudogene	ENSG00000230284
chr9	114774737	114775120	-	processed_pseudogene	ENSG00000274919
chr9	114784652	114806039	-	protein_coding	TNFSF15
chr9	114845594	114848585	+	processed_pseudogene	ENSG00000229817
chr9	114850968	115402644	+	lncRNA	DELEC1
chr9	114893343	114930595	-	protein_coding	TNFSF8
chr9	115019575	115118257	-	protein_coding	TNC
chr9	115119539	115138409	-	lncRNA	ENSG00000236461
chr9	115252538	115254251	-	lncRNA	ENSG00000234692
chr9	115324932	115744330	-	lncRNA	ENSG00000228714
chr9	115734392	115734491	+	snRNA	U2
chr9	115888169	115925207	-	lncRNA	LINC00474
chr9	116012361	116012965	+	lncRNA	ENSG00000228707
chr9	116153791	116402321	+	protein_coding	PAPPA
chr9	116285829	116288769	-	lncRNA	PAPPA-AS2
chr9	116288618	116318689	-	lncRNA	ENSG00000244757
chr9	116398157	116400606	-	lncRNA	PAPPA-AS1
chr9	116423112	117415070	-	protein_coding	ASTN2
chr9	116504283	116562293	+	lncRNA	ASTN2-AS1
chr9	116567636	116586328	+	lncRNA	ENSG00000230894
chr9	116687305	116701300	+	protein_coding	TRIM32
chr9	116838144	116877264	+	lncRNA	ENSG00000285820
chr9	117180628	117181095	-	processed_pseudogene	RPL10P3
chr9	117181066	117181200	-	snoRNA	SNORA70C
chr9	117197118	117197420	+	misc_RNA	RN7SKP128
chr9	117276985	117277286	+	misc_RNA	RN7SKP125
chr9	117462294	117466260	-	lncRNA	ENSG00000233516
chr9	117643151	117657032	+	lncRNA	ENSG00000233569
chr9	117685254	117685588	-	processed_pseudogene	RPL35AP22
chr9	117704157	118072314	+	protein_coding	ENSG00000285082
chr9	117704175	117724735	+	protein_coding	TLR4
chr9	117707996	117708102	-	snRNA	RNU6-1082P
chr9	117759455	117879988	+	lncRNA	ENSG00000284977
chr9	117840322	117897256	-	lncRNA	ENSG00000231901
chr9	118082869	118083382	-	processed_pseudogene	TPT1P9
chr9	118687752	118732772	-	lncRNA	ENSG00000225050
chr9	118740563	118745312	+	lncRNA	LINC02578
chr9	118763867	118764345	+	processed_pseudogene	TUBB4BP6
chr9	119153458	119369435	-	protein_coding	BRINP1
chr9	119495375	119524125	+	lncRNA	ENSG00000260970
chr9	119935053	119937832	+	lncRNA	LINC01613
chr9	119973094	119974322	+	lncRNA	ENSG00000225960
chr9	120244979	120245050	-	miRNA	MIR147A
chr9	120388875	120580170	-	protein_coding	CDK5RAP2
chr9	120600811	120714470	-	protein_coding	MEGF9
chr9	120720673	120721972	+	processed_pseudogene	AHCYP2
chr9	120751978	120793416	-	protein_coding	FBXW2
chr9	120792403	120801787	+	protein_coding	B3GALT9
chr9	120812475	120812845	-	processed_pseudogene	ENSG00000270917
chr9	120815496	120842951	-	protein_coding	PSMD5
chr9	120824828	120854385	+	transcribed_unitary_pseudogene	CUTALP
chr9	120855651	120894896	-	protein_coding	PHF19
chr9	120902393	120929173	-	protein_coding	TRAF1
chr9	120932642	121075195	-	protein_coding	C5
chr9	121074660	121177729	+	protein_coding	CNTRL
chr9	121178133	121223014	-	protein_coding	RAB14
chr9	121203159	121203435	+	misc_RNA	RN7SL181P
chr9	121207794	121332843	+	protein_coding	GSN
chr9	121238117	121240089	-	processed_pseudogene	ENSG00000214651
chr9	121279863	121282730	-	lncRNA	ENSG00000239593
chr9	121280768	121285530	-	lncRNA	GSN-AS1
chr9	121338987	121370304	-	protein_coding	STOM
chr9	121369893	121463371	+	lncRNA	ENSG00000227355
chr9	121444991	121499844	-	protein_coding	GGTA1
chr9	121494519	121494821	+	misc_RNA	RN7SL187P
chr9	121519816	121520424	-	processed_pseudogene	HMGB1P37
chr9	121567057	121785530	+	protein_coding	DAB2IP
chr9	121574891	121576214	-	lncRNA	ENSG00000229854
chr9	121815674	122093606	-	protein_coding	TTLL11
chr9	122120082	122120167	-	miRNA	MIR4478
chr9	122144058	122159779	-	protein_coding	NDUFA8
chr9	122159908	122200088	+	protein_coding	MORN5
chr9	122202577	122229626	-	protein_coding	LHX6
chr9	122237622	122264840	-	protein_coding	RBM18
chr9	122264603	122331337	+	protein_coding	MRRF
chr9	122370530	122395703	+	protein_coding	PTGS1
chr9	122372605	122372825	+	lncRNA	ENSG00000269970
chr9	122400970	122402906	-	lncRNA	ENSG00000233616
chr9	122403407	122639685	+	lncRNA	ENSG00000234156
chr9	122476958	122477926	-	protein_coding	OR1J1
chr9	122510802	122511743	+	protein_coding	OR1J2
chr9	122519141	122520082	+	protein_coding	OR1J4
chr9	122526358	122527296	-	protein_coding	OR1N1
chr9	122553112	122555173	+	protein_coding	OR1N2
chr9	122567117	122583384	-	protein_coding	OR1L8
chr9	122607864	122608800	+	unprocessed_pseudogene	OR1H1P
chr9	122614738	122615682	+	protein_coding	OR1Q1
chr9	122628579	122629573	-	protein_coding	OR1B1
chr9	122661566	122662648	+	protein_coding	OR1L1
chr9	122675130	122676104	+	protein_coding	OR1L3
chr9	122685933	122688372	+	processed_pseudogene	TLK1P1
chr9	122723990	122724925	+	protein_coding	OR1L4
chr9	122742303	122750783	+	protein_coding	OR1L6
chr9	122761844	122762233	+	processed_pseudogene	SKA2P1
chr9	122788933	122789895	+	protein_coding	OR5C1
chr9	122798389	122828588	-	protein_coding	PDCL
chr9	122800123	122801073	+	protein_coding	OR1K1
chr9	122837557	122838820	+	processed_pseudogene	KRT18P67
chr9	122844556	122905359	-	protein_coding	RC3H2
chr9	122880213	122880323	-	snoRNA	SNORD90
chr9	122908056	122913323	-	protein_coding	ZBTB6
chr9	122915566	122931512	-	protein_coding	ZBTB26
chr9	122937623	122940333	+	lncRNA	ENSG00000261094
chr9	122940539	122941260	-	lncRNA	ENSG00000286718
chr9	122940833	123104866	+	protein_coding	RABGAP1
chr9	122945988	122946094	-	misc_RNA	RNY1P15
chr9	123029373	123029753	-	processed_pseudogene	ENSG00000213216
chr9	123033667	123035665	+	protein_coding	GPR21
chr9	123061845	123063312	-	processed_pseudogene	ENSG00000225078
chr9	123109494	123115477	-	lncRNA	MIR600HG
chr9	123109500	123268586	-	protein_coding	STRBP
chr9	123111546	123111643	-	miRNA	MIR600
chr9	123356170	123380324	+	protein_coding	CRB2
chr9	123379654	123930152	-	protein_coding	DENND1A
chr9	123402525	123402603	-	miRNA	MIR601
chr9	123485529	123485622	-	miRNA	MIR7150
chr9	123491884	123493156	+	lncRNA	ENSG00000237336
chr9	123736437	123751941	+	lncRNA	ENSG00000230826
chr9	123759220	123759775	+	processed_pseudogene	ENSG00000229115
chr9	123843036	123843686	+	processed_pseudogene	PIGFP2
chr9	124001670	124033301	+	protein_coding	LHX2
chr9	124006277	124009406	-	lncRNA	ENSG00000236668
chr9	124010530	124011114	+	lncRNA	ENSG00000231227
chr9	124031624	124032524	-	lncRNA	ENSG00000234921
chr9	124257606	124353307	+	protein_coding	NEK6
chr9	124259250	124261156	-	lncRNA	ENSG00000235204
chr9	124262876	124265809	+	lncRNA	ENSG00000227200
chr9	124353465	124415444	-	protein_coding	PSMB7
chr9	124450451	124478589	+	protein_coding	ADGRD2
chr9	124481236	124507420	-	protein_coding	NR5A1
chr9	124514938	124516056	-	lncRNA	ENSG00000231149
chr9	124517275	124771311	-	protein_coding	NR6A1
chr9	124598707	124599580	-	processed_pseudogene	ENSG00000231744
chr9	124607159	124607458	+	misc_RNA	RN7SL302P
chr9	124658412	124698631	+	lncRNA	MIR181A2HG
chr9	124692442	124692551	+	miRNA	MIR181A2
chr9	124693710	124693798	+	miRNA	MIR181B2
chr9	124770123	124772927	+	lncRNA	ENSG00000236643
chr9	124777133	124814885	+	protein_coding	OLFML2A
chr9	124853417	124857890	+	protein_coding	WDR38
chr9	124857880	124861981	-	protein_coding	RPL35
chr9	124862130	124877733	+	protein_coding	ARPC5L
chr9	124868229	124869079	-	lncRNA	ENSG00000289285
chr9	124878275	124948492	-	protein_coding	GOLGA1
chr9	124887410	124887549	-	snRNA	RNU4-82P
chr9	124942608	125143528	-	protein_coding	SCAI
chr9	124968294	124968840	-	processed_pseudogene	FXNP2
chr9	125146573	125189939	-	protein_coding	PPP6C
chr9	125150653	125151589	+	processed_pseudogene	PRPS1P2
chr9	125194649	125195821	-	processed_pseudogene	RPSAP76
chr9	125200542	125234161	+	protein_coding	RABEPK
chr9	125234853	125241382	-	protein_coding	HSPA5
chr9	125241663	125257071	+	lncRNA	HSPA5-DT
chr9	125261794	125367207	+	protein_coding	GAPVD1
chr9	125263845	125264090	-	processed_pseudogene	ENSG00000214593
chr9	125303920	125304026	-	snRNA	RNU6-1020P
chr9	125372325	125372766	-	processed_pseudogene	ENSG00000227845
chr9	125417305	125417586	+	misc_RNA	Metazoa_SRP
chr9	125426169	125438509	+	lncRNA	ENSG00000287782
chr9	125437393	125707234	-	protein_coding	MAPKAP1
chr9	125512902	125513207	-	misc_RNA	RN7SL30P
chr9	125567579	125573023	+	lncRNA	ENSG00000227068
chr9	125595669	125596628	+	processed_pseudogene	HNRNPA1P15
chr9	125743754	125746552	-	lncRNA	PBX3-DT
chr9	125747345	125967377	+	protein_coding	PBX3
chr9	126057580	126159613	+	lncRNA	ENSG00000232413
chr9	126270121	126275918	-	lncRNA	ENSG00000288537
chr9	126286999	126298593	-	lncRNA	ENSG00000228392
chr9	126326829	126507041	+	protein_coding	MVB12B
chr9	126408041	126408410	-	misc_RNA	NRON
chr9	126426893	126426970	+	snoRNA	SNORD116
chr9	126516417	126518808	+	lncRNA	ENSG00000233721
chr9	126518840	126520773	+	TEC	ENSG00000279137
chr9	126527618	126530343	+	lncRNA	ENSG00000226078
chr9	126589594	126613700	-	lncRNA	LMX1B-DT
chr9	126613928	126701032	+	protein_coding	LMX1B
chr9	126640756	126641293	+	lncRNA	ENSG00000238010
chr9	126701173	126704691	-	lncRNA	ENSG00000286428
chr9	126805006	126838210	+	protein_coding	ZBTB43
chr9	126819282	126820987	+	lncRNA	ENSG00000288995
chr9	126860639	126885878	+	protein_coding	ZBTB34
chr9	126914774	127223166	+	protein_coding	RALGPS1
chr9	127087348	127122635	-	protein_coding	ANGPTL2
chr9	127213783	127221907	-	lncRNA	ENSG00000228487
chr9	127224265	127393660	+	protein_coding	GARNL3
chr9	127300093	127300982	-	processed_pseudogene	ENSG00000229369
chr9	127366770	127367397	+	lncRNA	ENSG00000271833
chr9	127397138	127408424	+	protein_coding	SLC2A8
chr9	127424374	127445372	+	protein_coding	ZNF79
chr9	127447674	127451406	-	protein_coding	RPL12
chr9	127448501	127448630	-	snoRNA	SNORA65
chr9	127451489	127503499	+	protein_coding	LRSAM1
chr9	127470875	127470987	+	misc_RNA	Y_RNA
chr9	127505339	127578989	-	protein_coding	NIBAN2
chr9	127579370	127696027	+	protein_coding	STXBP1
chr9	127690098	127690840	-	lncRNA	ENSG00000279571
chr9	127690348	127724873	-	protein_coding	PTRH1
chr9	127690687	127690795	-	miRNA	MIR3911
chr9	127706988	127716002	+	protein_coding	CFAP157
chr9	127716079	127731590	+	protein_coding	TTC16
chr9	127731524	127735313	-	protein_coding	TOR2A
chr9	127738317	127778710	-	protein_coding	SH2D3C
chr9	127754534	127760560	+	lncRNA	ENSG00000286196
chr9	127785679	127790792	+	protein_coding	CDK9
chr9	127785833	127785923	+	miRNA	MIR3960
