Gene Symbol	Gene ID	Cytoband	P2_LG	P6_LG	P7_LG	P8_LG	P1_LG	P4_LG	P5_LG	P9_LG	P8_2_LG
MIR483	619552	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.099	0.403
IGF2-AS	51214	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.242	0.403
INS	3630	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
TH	7054	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
MIR4686	100616126	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
ASCL2	430	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
C11orf21	29125	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
TSPAN32	10077	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
CD81-AS1	101927682	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
CD81	975	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
TRPM5	29850	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
TSSC4	10078	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
KCNQ1	3784	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
KCNQ1OT1	10984	11p15.5	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
KCNQ1-AS1	338653	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
KCNQ1DN	55539	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
CDKN1C	1028	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
SLC22A18AS	5003	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.470	0.385	0.403
SLC22A18	5002	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.387	0.187	0.403
PHLDA2	7262	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	0.403
NAP1L4	4676	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	0.138
SNORA54	677833	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	-0.021
CARS	833	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	-0.021
OSBPL5	114879	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	-0.021
MRGPRG-AS1	283303	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	-0.021
MRGPRG	386746	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	-0.021
MRGPRE	116534	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	-0.021
ZNF195	7748	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	-0.021
TSSC2	650368	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	-0.021
OR7E12P	10821	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	-0.021
LOC101927708	101927708	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	-0.021
TRPC2	7221	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	-0.021
ART5	116969	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	-0.021
ART1	417	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.011	-0.021
CHRNA10	57053	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.139	-0.214	-0.021
NUP98	4928	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	0.244	-0.417	-0.302
PGAP2	27315	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	0.362	-0.417	-0.339
RHOG	391	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	0.362	-0.417	-0.339
MIR4687	100616453	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	0.362	-0.417	-0.339
STIM1	6786	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	0.362	-0.417	-0.339
RRM1	6240	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.038	-0.254	-0.242
LOC100506082	100506082	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.305	-0.146	0.145
OR52B4	143496	11p15.4	0.108	0.019	-0.070	0.081	-0.054	0.081	-0.305	-0.146	0.145
TRIM21	6737	11p15.4	-0.008	0.019	-0.070	-0.286	-0.054	0.081	-0.305	-0.040	0.145
OR52K2	119774	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR52K1	390036	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR52M1	119772	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
C11orf40	143501	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR52I2	143502	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR52I1	390037	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
TRIM68	55128	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR51D1	390038	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR51E1	143503	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR51E2	81285	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR51F1	256892	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR52R1	119695	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR51F2	119694	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR51S1	119692	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR51T1	401665	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR51A7	119687	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR51G2	81282	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR51G1	79324	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR51A4	401666	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR51A2	401667	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
MMP26	56547	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR51L1	119682	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR52J3	119679	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR52E2	119678	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.278	0.145
OR52A5	390054	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	-0.090	0.145
OR52A1	23538	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	-0.090	0.145
OR51V1	283111	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	-0.090	0.145
HBB	3043	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	-0.090	0.145
HBD	3045	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	-0.090	0.145
HBBP1	3044	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	-0.090	0.145
BGLT3	103344929	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	-0.090	0.145
HBG1	3047	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	-0.090	0.145
HBG2	3048	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.066	0.145
HBE1	3046	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
OR51B4	79339	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
OR51B2	79345	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
OR51B5	282763	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
OR51B6	390058	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
OR51M1	390059	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
OR51Q1	390061	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
OR51I1	390063	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
OR51I2	390064	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
OR52D1	390066	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
UBQLN3	50613	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
UBQLNL	143630	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
OLFM5P	101927763	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
OR52H1	390067	11p15.4	-0.125	0.019	-0.070	-0.408	-0.054	0.081	-0.305	0.223	0.145
OR52B6	340980	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.305	0.223	-0.149
TRIM6-TRIM34	445372	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	0.046	-0.030	-0.149
TRIM6	117854	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.004	0.071	-0.149
TRIM34	53840	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	0.147	-0.233	-0.149
TRIM5	85363	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	0.147	-0.233	-0.149
TRIM22	10346	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	0.147	-0.233	-0.149
OR56B1	387748	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	-0.233	-0.149
OR52N4	390072	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	-0.233	-0.149
OR52N5	390075	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	-0.233	-0.149
OR52N1	79473	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	-0.233	-0.149
OR52N2	390077	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	-0.149
OR52E6	390078	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
OR52E8	390079	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
OR52E4	390081	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
OR56A3	390083	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
OR56A5	390084	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
OR52L1	338751	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
OR56A4	120793	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
OR56A1	120796	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
OR56B4	196335	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
OR52B2	255725	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
OR52W1	120787	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
C11orf42	160298	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
FAM160A2	84067	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
CNGA4	1262	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
CCKBR	887	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
PRKCDBP	112464	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.274	0.136	0.110
APBB1	322	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.110
SMPD1	6609	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.110
HPX	3263	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.110
TRIM3	10612	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.110
ARFIP2	23647	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.110
TIMM10B	26515	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.110
DNHD1	144132	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.110
RRP8	23378	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.329
ILK	3611	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.548
TAF10	6881	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.548
TPP1	1200	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.548
DCHS1	8642	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.548
MRPL17	63875	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.312
GVINP1	387751	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
OR2AG2	338755	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
OR2AG1	144125	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
OR6A2	8590	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
OR10A5	144124	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
OR10A2	341276	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
OR10A4	283297	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
OR2D2	120776	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
OR2D3	120775	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
ZNF215	7762	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
ZNF214	7761	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
NLRP14	338323	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
RBMXL2	27288	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
MIR302E	100313774	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
SYT9	143425	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.106
LOC100506258	100506258	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.076
OLFML1	283298	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.446
PPFIBP2	8495	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.446
CYB5R2	51700	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.446
OVCH2	341277	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	0.263
OR5P2	120065	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	-0.011
OR5P3	120066	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	-0.011
LOC283299	283299	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	-0.011
OR5E1P	26343	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	-0.011
OR10A6	390093	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	-0.011
OR10A3	26496	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	-0.011
NLRP10	338322	11p15.4	-0.125	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	-0.011
EIF3F	8665	11p15.4	-0.007	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	-0.011
CASC23	103581031	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	-0.011
TUB	7275	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	-0.011
TUB-AS1	101927917	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	0.136	-0.011
RIC3	79608	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.034	-0.011
LMO1	4004	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
STK33	65975	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
TRIM66	9866	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
RPL27A	6157	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
SNORA3A	619562	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
SNORA3B	677826	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
ST5	6764	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
LOC102724784	102724784	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
AKIP1	56672	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
C11orf16	56673	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
ASCL3	56676	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
TMEM9B	56674	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
TMEM9B-AS1	493900	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
NRIP3	56675	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
SCUBE2	57758	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
KRT8P41	283102	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
MIR5691	100847015	11p15.4	0.111	0.019	-0.070	-0.097	-0.054	0.081	-0.185	-0.082	-0.011
DENND5A	23258	11p15.4	0.111	0.019	-0.070	0.154	-0.054	0.081	-0.185	-0.337	-0.379
TMEM41B	440026	11p15.4	0.111	0.019	-0.070	0.500	-0.054	0.081	-0.018	-0.454	-0.477
IPO7	10527	11p15.4	0.111	0.019	-0.070	0.500	-0.054	0.081	0.206	-0.454	-0.477
SNORA23	677808	11p15.4	0.111	0.019	-0.070	0.500	-0.054	0.081	0.206	-0.454	-0.477
LOC644656	644656	11p15.4	0.111	0.019	-0.070	0.500	-0.054	0.081	0.206	-0.454	-0.477
ZNF143	7702	11p15.4	0.111	0.019	-0.070	0.500	-0.054	0.081	0.206	-0.454	-0.477
WEE1	7465	11p15.4	0.111	0.019	-0.070	0.196	-0.054	0.081	0.206	-0.454	-0.477
SWAP70	23075	11p15.4	0.111	0.019	-0.070	-0.007	-0.054	0.081	0.206	-0.406	-0.294
LOC440028	440028	11p15.4	0.111	0.019	-0.070	-0.007	-0.054	0.081	0.206	-0.120	-0.111
SBF2-AS1	283104	11p15.4	0.111	0.019	-0.070	-0.007	-0.054	0.081	0.206	-0.120	-0.111
SBF2	81846	11p15.4	0.012	0.019	-0.070	-0.007	-0.054	-0.023	0.206	-0.120	-0.111
LOC101928008	101928008	11p15.4	0.111	0.019	-0.070	-0.007	-0.054	0.081	0.206	-0.120	-0.111
ADM	133	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	0.206	-0.120	-0.111
CAND1.11	100130460	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	0.206	-0.120	-0.111
AMPD3	272	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	0.206	-0.019	-0.016
MIR4485	100616263	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	0.206	0.132	0.363
MTRNR2L8	100463486	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	0.206	0.132	0.363
RNF141	50862	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	0.206	0.132	0.363
MRVI1-AS1	100129827	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	0.206	0.132	0.363
LYVE1	10894	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	0.206	0.132	0.363
MRVI1	10335	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	0.206	0.132	0.363
CTR9	9646	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	0.206	-0.091	0.178
EIF4G2	1982	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.012	-0.180	-0.067
SNORD97	692223	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	0.206	-0.180	-0.067
LOC101928053	101928053	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	-0.180	-0.067
ZBED5	58486	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	-0.180	-0.067
ZBED5-AS1	729013	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	-0.180	-0.067
GALNT18	374378	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.223	0.373
CSNK2A3	283106	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.223	0.373
MIR4299	100423026	11p15.4	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.223	0.373
MIR8070	102465870	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.223	0.373
USP47	55031	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.223	0.373
DKK3	27122	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.223	0.373
LOC105376554	105376554	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.223	0.373
MICAL2	9645	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.204	0.373
MIR6124	102466906	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.223	0.373
MICALCL	84953	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.047	0.211
PARVA	55742	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.047	0.171
TEAD1	7003	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.047	0.171
LINC00958	100506305	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.047	0.171
RASSF10	644943	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.339	0.047	0.171
ARNTL	406	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.248	0.047	0.171
BTBD10	84280	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	0.047	0.117
PTH	5741	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	0.047	0.072
FAR1	84188	11p15.3	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	0.047	0.072
LOC101928132	101928132	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	0.047	0.072
SPON1	10418	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	0.030	0.072
RRAS2	22800	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	-0.255	-0.176
COPB1	1315	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	-0.255	-0.226
PSMA1	5682	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	-0.255	-0.226
PDE3B	5140	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	-0.168	-0.149
CYP2R1	120227	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	0.196	0.174
CALCA	796	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	0.196	0.174
CALCB	797	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	0.196	0.174
INSC	387755	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	0.196	0.174
LOC102724957	102724957	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	0.196	0.174
MIR6073	102464826	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	-0.098	-0.022	0.196	0.174
SOX6	55553	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	-0.057	-0.022	-0.026	0.174
C11orf58	10944	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	0.155	-0.022	-0.146	0.174
PLEKHA7	144100	11p15.2	-0.091	0.019	-0.070	-0.007	-0.054	0.155	-0.022	0.134	0.174
OR7E14P	10819	11p15.1	-0.091	0.019	-0.070	-0.007	-0.054	0.155	-0.022	-0.445	-0.447
RPS13	6207	11p15.1	-0.091	0.019	-0.070	-0.007	-0.054	0.155	-0.022	-0.445	-0.447
SNORD14A	26822	11p15.1	-0.091	0.019	-0.070	-0.007	-0.054	0.155	-0.022	-0.445	-0.447
SNORD14B	85388	11p15.1	-0.091	0.019	-0.070	-0.007	-0.054	0.155	-0.022	-0.445	-0.447
PIK3C2A	5286	11p15.1	-0.091	0.019	-0.070	-0.007	-0.054	0.155	-0.022	-0.445	-0.447
NUCB2	4925	11p15.1	-0.091	0.019	-0.070	-0.007	-0.054	0.155	-0.022	-0.276	-0.447
